1
 *****************************************************************************************************************************
 *****************************************************************************************************************************
 **************************************************                         **************************************************
 **************************************************          GOSIA          **************************************************
 **************************************************                         **************************************************
 *****************************************************************************************************************************
 *****************************************************************************************************************************





                    ROCHESTER COULOMB EXCITATION DATA ANALYSIS CODE BY T.CZOSNYKA,D.CLINE AND C.Y.WU
                                                  VERSION: 20081208.18






               Coulomb excitation of 148Sm on a 208Pb target                              
          ----------------------------------------------------------------------------------------------------

                                        LEVELS

     INDEX     PARITY         SPIN           ENERGY(MEV)
      64     17     21        0.01000
      65     17     23        0.12000
      66     18     18        0.60000
      67     18     22        1.00000
      68     19     19        0.90000
      69     20     20       -0.50000
      70     22     22        0.00000
      71     23     23        0.00000
     MULTIPOLARITY=3
    INDEX   NF     NS          ME
      72      1     10        0.60945
      73      2     10       -0.70373
      74      2     11       -0.69105
      75      2     12        0.94039
      76      3     10       -0.77960
      77      3     11        0.79795
      78      3     12       -0.85714
      79      3     13        1.16774
      80      4     10        1.06091
      81      4     12       -0.93094
      82      4     13       -1.00053
      83      4     14        1.35472
      84      5     12        1.26490
      85      5     13       -1.06622
      86      5     14       -1.12847
      87      5     15        1.51787
      88      6     13        1.43870
      89      6     14       -1.18771
      90      6     15       -1.24429
      91      7     14        1.59301
      92      7     15       -1.29852
      93      8     15        1.73332
     MULTIPOLARITY=7
    INDEX   NF     NS          ME
      94      2     17        0.27109
      95      2     18       -0.53392
      96      2     22       -0.27000
      97      2     23       -0.15000
      98      3     19        0.65190
      99      3     20        0.60000
     100      3     23        0.18000
     101     17     23        0.28000
     102     18     22        0.90000



     *****  RESTART-MATRIX ELEMENTS OVERWRITTEN  *****




                                        MATRIX ELEMENTS


     MULTIPOLARITY=1
    INDEX   NF     NS          ME               LIMITS
       1      1     11        0.00859     FIXED
       2      2     10        0.01487     FIXED
       3      2     11        0.01214     FIXED
       4      3     10        0.01717     FIXED
       5      3     12        0.01920     FIXED
       6      4     12        0.02103     FIXED
       7      4     13        0.02272     FIXED
       8      5     13        0.02429     FIXED
       9      5     14        0.02576     FIXED
      10      6     14        0.02716     FIXED
      11      6     15        0.02848     FIXED
      12      7     15        0.02975     FIXED
      13     10     19        0.01100     FIXED
      14     10     22        0.00260     FIXED
      15     10     23        0.00120     FIXED
      16     12     20        0.00650     FIXED
     MULTIPOLARITY=2
    INDEX   NF     NS          ME               LIMITS
      17      1      2        0.84683     FIXED
      18      1     17        0.27559     FIXED
      19      1     18        0.17343     FIXED
      20      1     22        0.03700     FIXED
      21      2      2       -1.01215     FIXED
      22      2      3        1.35795     FIXED
      23      2     16        0.12000     FIXED
      24      2     17        0.83253     FIXED
      25      2     18        0.32401     FIXED
      26      2     19        0.14612     FIXED
      27      2     20        0.34000     FIXED
      28      2     21        0.15000     FIXED
      29      2     22        0.13000     FIXED
      30      2     23        0.12000     FIXED
      31      3      3       -1.29475     FIXED
      32      3      4        1.71279     FIXED
      33      3     17        0.10000     FIXED
      34      3     19        2.34030     FIXED
      35      3     20        1.20000     FIXED
      36      3     23        0.15000     FIXED
      37      4      4       -1.54046     FIXED
      38      4      5        2.00396     FIXED
      39      4     19        0.10000     FIXED
      40      4     20        0.10000     FIXED
      41      5      5       -1.75494     FIXED
      42      5      6        2.25728     FIXED
      43      6      6       -1.94697     FIXED
      44      6      7        2.48464     FIXED
      45      7      7       -2.12218     FIXED
      46      7      8        2.69274     FIXED
      47      8      8       -2.28424     FIXED
      48      8      9        2.88579     FIXED
      49      9      9       -2.43569     FIXED
      50     10     10       -1.15699     FIXED
      51     10     11        1.13614     FIXED
      52     10     12        1.54609     FIXED
      53     11     11       -0.92765     FIXED
      54     12     12       -1.42219     FIXED
      55     12     13        1.86420     FIXED
      56     13     13       -1.65097     FIXED
      57     13     14        2.13443     FIXED
      58     14     14       -1.85336     FIXED
      59     14     15        2.37371     FIXED
      60     15     15       -2.03642     FIXED
      61     16     17        0.10000     FIXED
      62     17     17        1.01215     FIXED
      63     17     19        1.21632     FIXED
      64     17     21        0.01000     FIXED
      65     17     23        0.12000     FIXED
      66     18     18        0.60000     FIXED
      67     18     22        1.00000     FIXED
      68     19     19        0.90000     FIXED
      69     20     20       -0.50000     FIXED
      70     22     22        0.00000     FIXED
      71     23     23        0.00000     FIXED
     MULTIPOLARITY=3
    INDEX   NF     NS          ME               LIMITS
      72      1     10        0.60945     FIXED
      73      2     10       -0.70373     FIXED
      74      2     11       -0.69105     FIXED
      75      2     12        0.94039     FIXED
      76      3     10       -0.77960     FIXED
      77      3     11        0.79795     FIXED
      78      3     12       -0.85714     FIXED
      79      3     13        1.16774     FIXED
      80      4     10        1.06091     FIXED
      81      4     12       -0.93094     FIXED
      82      4     13       -1.00053     FIXED
      83      4     14        1.35472     FIXED
      84      5     12        1.26490     FIXED
      85      5     13       -1.06622     FIXED
      86      5     14       -1.12847     FIXED
      87      5     15        1.51787     FIXED
      88      6     13        1.43870     FIXED
      89      6     14       -1.18771     FIXED
      90      6     15       -1.24429     FIXED
      91      7     14        1.59301     FIXED
      92      7     15       -1.29852     FIXED
      93      8     15        1.73332     FIXED
     MULTIPOLARITY=7
    INDEX   NF     NS          ME               LIMITS
      94      2     17        0.27109     FIXED
      95      2     18       -0.53392     FIXED
      96      2     22       -0.27000     FIXED
      97      2     23       -0.15000     FIXED
      98      3     19        0.65190     FIXED
      99      3     20        0.60000     FIXED
     100      3     23        0.18000     FIXED
     101     17     23        0.28000     FIXED
     102     18     22        0.90000     FIXED


                                                  CALCULATED YIELDS

     EXPERIMENT  1  DETECTOR  1
     ENERGY    650.100 MEV  THETA  29.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000000000861898757349634269073308329373386826866010324010858        0.84911E-12
      8      7   14.0   12.0           0.000000121842315988791790275694152702323780346205239766277373        0.12003E-09
      8     15   14.0   11.0           0.000000000047141886803941853426575919319276388765038721118117        0.46442E-13
      7      6   12.0   10.0           0.000003271913376012009860128266700018961898877023486420512199        0.32234E-08
      7     15   12.0   11.0           0.000004066223712738149154600087592514867651516397017985582352        0.40059E-08
      7     14   12.0    9.0           0.000000002202117546228455817234568323362275954480082873487845        0.21694E-11
     15      5   11.0    8.0           0.000000002634681971411641754586450633619093553150491970882285        0.25956E-11
     15      6   11.0   10.0           0.000005502114402962711978747195606942455015087034553289413452        0.54205E-08
     15     14   11.0    9.0           0.000099392257573326111652449454947344520405749790370464324951        0.97917E-07
      6      5   10.0    8.0           0.000092360567603191529354421385189510829150094650685787200928        0.90990E-07
      6     14   10.0    9.0           0.000240418303693731974296152187342556771909585222601890563965        0.23685E-06
      6     13   10.0    7.0           0.000000062425057091342576974908823786436506964037107536569238        0.61499E-10
     14      4    9.0    6.0           0.000000493362239981093845435713984848291602247627452015876770        0.48604E-09
     14      5    9.0    8.0           0.000080986877771667078627568225890343001083238050341606140137        0.79785E-07
     14     13    9.0    7.0           0.007827251062012364341002879086772736627608537673950195312500        0.77111E-05
      5      4    8.0    6.0           0.008020161279481590257955936351663694949820637702941894531250        0.79011E-05
      5     13    8.0    7.0           0.008891199683262155858964881360861909342929720878601074218750        0.87592E-05
      5     12    8.0    5.0           0.000000953481732863948799022561515076334970331117801833897829        0.93933E-09
     13      3    7.0    4.0           0.000052738962566556832009274230488315993170544970780611038208        0.51956E-07
     13      4    7.0    6.0           0.089061262441898228492398459366086171939969062805175781250000        0.87740E-04
     13     12    7.0    5.0           0.182172571384181525289136516221333295106887817382812500000000        0.17947E-03
     22      1    2.0    0.0           0.024150305236317851087513020047481404617428779602050781250000        0.23792E-04
     22      2    2.0    2.0           0.235927411590491020731974458612967282533645629882812500000000        0.23243E-03
     22     10    2.0    3.0           0.027646403779438898790088430246214556973427534103393554687500        0.27236E-04
     22     18    2.0    2.0           0.021750338758329740285191178372770082205533981323242187500000        0.21428E-04
     21      2    0.0    2.0           0.038506798898913563444779128985828720033168792724609375000000        0.37935E-04
     21     17    0.0    2.0           0.000000784384754718961803854880045216990680501112365163862705        0.77274E-09
      4      3    6.0    4.0           1.234794560992883649674922708072699606418609619140625000000000        0.12165E-02
      4     12    6.0    5.0           0.363592306972648826590699400185258127748966217041015625000000        0.35820E-03
      4     19    6.0    4.0           0.000003189975138133971574574748383823497022149240365251898766        0.31426E-08
      4     20    6.0    4.0           0.000000000003499790398746978288757224494979263472969888137953        0.34478E-14
      4     10    6.0    3.0           0.000013891637672572593824294427677923380315405665896832942963        0.13685E-07
     23      2    3.0    2.0           0.014226285169464442451059404959323728689923882484436035156250        0.14015E-04
     23      3    3.0    4.0           0.002158271648870895183247586857078204047866165637969970703125        0.21262E-05
     23     10    3.0    3.0           0.000747340853984807223890640681673858125577680766582489013672        0.73625E-06
     23     17    3.0    2.0           0.001026194455756785414018983360051606723573058843612670898438        0.10110E-05
     20      2    4.0    2.0           0.694192746682028682947418474213918671011924743652343750000000        0.68389E-03
     20      3    4.0    4.0           0.624178130506771733365667387261055409908294677734375000000000        0.61491E-03
     20     12    4.0    5.0           0.020344780045977770011056406929128570482134819030761718750000        0.20043E-04
     19      2    4.0    2.0           0.274852311157144091335879920734441839158535003662109375000000        0.27077E-03
     19      3    4.0    4.0           2.148279777452072103471891750814393162727355957031250000000000        0.21164E-02
     19     10    4.0    3.0           1.630899950690670952013761052512563765048980712890625000000000        0.16067E-02
     19     17    4.0    2.0           0.013969723557351491211031557782007439527660608291625976562500        0.13762E-04
     18      1    2.0    0.0           1.751606704748212006705898602376691997051239013671875000000000        0.17256E-02
     18      2    2.0    2.0           3.401556400089848164469685798394493758678436279296875000000000        0.33511E-02
     12      2    5.0    2.0           0.000562573898082542600551647637985297478735446929931640625000        0.55422E-06
     12      3    5.0    4.0           3.429937682913407392959470598725602030754089355468750000000000        0.33790E-02
     12     10    5.0    3.0           0.366390645625778055283205958403414115309715270996093750000000        0.36095E-03
     11      1    1.0    0.0           0.236950093372293807414408206568623427301645278930664062500000        0.23343E-03
     11      2    1.0    2.0           0.115384095648391013511080416265031090006232261657714843750000        0.11367E-03
     11      3    1.0    4.0           0.000000000355540963650649892305065027800839438931745917216176        0.35026E-12
     11     10    1.0    3.0           0.000262118603352196478505770071976144208747427910566329956055        0.25823E-06
     17      1    2.0    0.0          12.138818224258983491381513886153697967529296875000000000000000        0.11959E-01
     17      2    2.0    2.0          12.194143569250270431325589015614241361618041992187500000000000        0.12013E-01
     17      3    2.0    4.0           0.000378670392769405708601609950036959162389393895864486694336        0.37305E-06
     17     16    2.0    0.0           0.000000005638395660932238331369722024411991756487338989245472        0.55547E-11
     16      2    0.0    2.0           0.186727011737363168819570091727655380964279174804687500000000        0.18396E-03
      3      2    4.0    2.0          70.798474195420382670818071346729993820190429687500000000000000        0.69748E-01
      3     10    4.0    3.0           0.009734204988389760435096853541381278773769736289978027343750        0.95897E-05
     10      1    3.0    0.0           0.000825754722998842593736923411995576316257938742637634277344        0.81350E-06
     10      2    3.0    2.0          10.971843853633824750204439624212682247161865234375000000000000        0.10809E-01
      2      1    2.0    0.0        1015.064589250847234325192403048276901245117187500000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  2  DETECTOR  1
     ENERGY    650.100 MEV  THETA  37.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000000086799390454476156969202912429273144567787312553264201        0.10061E-09
      8      7   14.0   12.0           0.000006035032063651336760301806955153480771514296066015958786        0.69954E-08
      8     15   14.0   11.0           0.000000002335008129925748471562361291940790319898724192171358        0.27066E-11
      7      6   12.0   10.0           0.000078390396308229316085260107715981803266913630068302154541        0.90865E-07
      7     15   12.0   11.0           0.000097420943554433830306044095337369981280062347650527954102        0.11292E-06
      7     14   12.0    9.0           0.000000052759608011554056874714807145315687009201610635500401        0.61155E-10
     15      5   11.0    8.0           0.000000048539667118524499358408341590301326995415820420021191        0.56264E-10
     15      6   11.0   10.0           0.000101367377340330308034543893569434658274985849857330322266        0.11750E-06
     15     14   11.0    9.0           0.001831138311612988834459203602023080748040229082107543945312        0.21225E-05
      6      5   10.0    8.0           0.001078110233483980159169268731034208030905574560165405273438        0.12497E-05
      6     14   10.0    9.0           0.002806364666820381024298081129586535098496824502944946289062        0.32529E-05
      6     13   10.0    7.0           0.000000728677774752788947323293555075052196912110957782715559        0.84463E-09
     14      4    9.0    6.0           0.000004426381105601358716724724046143180089529778342694044113        0.51308E-08
     14      5    9.0    8.0           0.000726603611950300582074391275710922855068929493427276611328        0.84223E-06
     14     13    9.0    7.0           0.070225066699505372946887860052811447530984878540039062500000        0.81400E-04
      5      4    8.0    6.0           0.050074035088321526554278051435176166705787181854248046875000        0.58042E-04
      5     13    8.0    7.0           0.055512380537280262005062070329586276784539222717285156250000        0.64346E-04
      5     12    8.0    5.0           0.000005953081999691297726822348385100625023369502741843461990        0.69004E-08
     13      3    7.0    4.0           0.000235648064987574760650868022082704555941745638847351074219        0.27315E-06
     13      4    7.0    6.0           0.397943249894194217564091786698554642498493194580078125000000        0.46127E-03
     13     12    7.0    5.0           0.813982904694363074149521253275452181696891784667968750000000        0.94351E-03
     22      1    2.0    0.0           0.054179863009477392810087081898018368519842624664306640625000        0.62802E-04
     22      2    2.0    2.0           0.529289990957576672592210798029555007815361022949218750000000        0.61352E-03
     22     10    2.0    3.0           0.062023165124312773510695251388824544847011566162109375000000        0.71893E-04
     22     18    2.0    2.0           0.048795672054855757093783097388950409367680549621582031250000        0.56561E-04
     21      2    0.0    2.0           0.141903193021245793703499771254428196698427200317382812500000        0.16448E-03
     21     17    0.0    2.0           0.000002890572689358185923160903668671650734722788911312818527        0.33506E-08
      4      3    6.0    4.0           4.099550338333773247256885952083393931388854980468750000000000        0.47519E-02
      4     12    6.0    5.0           1.207135998288439315828668441099580377340316772460937500000000        0.13992E-02
      4     19    6.0    4.0           0.000010590801150191345202447590345684602652909234166145324707        0.12276E-07
      4     20    6.0    4.0           0.000000000011619395943681318794011844957114547825793859914256        0.13468E-13
      4     10    6.0    3.0           0.000046120601531329045975025893167043022913276217877864837646        0.53460E-07
     23      2    3.0    2.0           0.034603303258259610064584421706967987120151519775390625000000        0.40110E-04
     23      3    3.0    4.0           0.005249671821557832206150973064495701692067086696624755859375        0.60851E-05
     23     10    3.0    3.0           0.001817794448773624562190609488254722236888483166694641113281        0.21071E-05
     23     17    3.0    2.0           0.002496063978157518278844229087098938180133700370788574218750        0.28933E-05
     20      2    4.0    2.0           1.505953701284568735374591597064863890409469604492187500000000        0.17456E-02
     20      3    4.0    4.0           1.354066821340773385529132610827218741178512573242187500000000        0.15695E-02
     20     12    4.0    5.0           0.044135143961817231705868636026934836991131305694580078125000        0.51158E-04
     19      2    4.0    2.0           0.884663218467783840637252978922333568334579467773437500000000        0.10254E-02
     19      3    4.0    4.0           6.914637516012771989437624142738059163093566894531250000000000        0.80150E-02
     19     10    4.0    3.0           5.249354438035100933745980000821873545646667480468750000000000        0.60847E-02
     19     17    4.0    2.0           0.044964150206057158787320560122680035419762134552001953125000        0.52119E-04
     18      1    2.0    0.0           2.420835902928895055907787536852993071079254150390625000000000        0.28061E-02
     18      2    2.0    2.0           4.701175119307827721115700114751234650611877441406250000000000        0.54493E-02
     12      2    5.0    2.0           0.001315362389203493910863618232554017595248296856880187988281        0.15247E-05
     12      3    5.0    4.0           8.019588254615605649178178282454609870910644531250000000000000        0.92958E-02
     12     10    5.0    3.0           0.856663411961965604035640353686176240444183349609375000000000        0.99299E-03
     11      1    1.0    0.0           0.428769844077758810474421125036315061151981353759765625000000        0.49700E-03
     11      2    1.0    2.0           0.208791733297534282121077353622240480035543441772460937500000        0.24202E-03
     11      3    1.0    4.0           0.000000000643364353135006643114186058275217119928335307577072        0.74574E-12
     11     10    1.0    3.0           0.000474313181690193784445508384806089452467858791351318359375        0.54979E-06
     17      1    2.0    0.0          15.397812474644000602097548835445195436477661132812500000000000        0.17848E-01
     17      2    2.0    2.0          15.467991405700759699470836494583636522293090820312500000000000        0.17929E-01
     17      3    2.0    4.0           0.000480334707204912699299304001954169507371261715888977050781        0.55677E-06
     17     16    2.0    0.0           0.000000007152175561157716689887281973992197436906792518129805        0.82903E-11
     16      2    0.0    2.0           0.559267508442420679948270390013931319117546081542968750000000        0.64826E-03
      3      2    4.0    2.0         123.251999737218298491825407836586236953735351562500000000000000        0.14287E+00
      3     10    4.0    3.0           0.016946131174514073025605398470361251384019851684570312500000        0.19643E-04
     10      1    3.0    0.0           0.001107721354335103889146574296376002166653051972389221191406        0.12840E-05
     10      2    3.0    2.0          14.718348432767704991874779807403683662414550781250000000000000        0.17061E-01
      2      1    2.0    0.0         862.714493699965373707527760416269302368164062500000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  3  DETECTOR  1
     ENERGY    650.100 MEV  THETA  45.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000001762532686680765087864123340233302172919138683937489986        0.27012E-08
      8      7   14.0   12.0           0.000074505202193895977156104515337631255533779039978981018066        0.11419E-06
      8     15   14.0   11.0           0.000000028826732154800311536914158650271589046099052211502567        0.44180E-10
      7      6   12.0   10.0           0.000576217748728494964099988706607291533146053552627563476562        0.88311E-06
      7     15   12.0   11.0           0.000716104005307198650254196792275251937098801136016845703125        0.10975E-05
      7     14   12.0    9.0           0.000000387815650691181622184826880209151944711720716441050172        0.59436E-09
     15      5   11.0    8.0           0.000000302634289947438060409078391249648731786692223977297544        0.46381E-09
     15      6   11.0   10.0           0.000632003598012260275895712879901111591607332229614257812500        0.96860E-06
     15     14   11.0    9.0           0.011416749961992586626102763602830236777663230895996093750000        0.17497E-04
      6      5   10.0    8.0           0.004635317337324747904991895097737142350524663925170898437500        0.71040E-05
      6     14   10.0    9.0           0.012065919041442245071560357416728948010131716728210449218750        0.18492E-04
      6     13   10.0    7.0           0.000003132938189186578530981636472874107823827216634526848793        0.48015E-08
     14      4    9.0    6.0           0.000016948248602681170038456240356516957490384811535477638245        0.25975E-07
     14      5    9.0    8.0           0.002782105371667206988178788762411386414896696805953979492188        0.42638E-05
     14     13    9.0    7.0           0.268885995165883240343163151919725351035594940185546875000000        0.41209E-03
      5      4    8.0    6.0           0.138317292771109684457186972394993063062429428100585937500000        0.21198E-03
      5     13    8.0    7.0           0.153339393912495292049413819768233224749565124511718750000000        0.23501E-03
      5     12    8.0    5.0           0.000016443935153006360530038298950472608339623548090457916260        0.25202E-07
     13      3    7.0    4.0           0.000555229363302073178169926404024181465501897037029266357422        0.85094E-06
     13      4    7.0    6.0           0.937626104762462109221132777747698128223419189453125000000000        0.14370E-02
     13     12    7.0    5.0           1.917890604941116405868228866893332451581954956054687500000000        0.29393E-02
     22      1    2.0    0.0           0.082985680751396312393453058575687464326620101928710937500000        0.12718E-03
     22      2    2.0    2.0           0.810697697903584479917071803356520831584930419921875000000000        0.12425E-02
     22     10    2.0    3.0           0.094999032745745656813873836199491051957011222839355468750000        0.14559E-03
     22     18    2.0    2.0           0.074738876000586429437788638097117654979228973388671875000000        0.11454E-03
     21      2    0.0    2.0           0.294006199615369834265976578535628505051136016845703125000000        0.45059E-03
     21     17    0.0    2.0           0.000005988915915253155894111374013544235594963538460433483124        0.91786E-08
      4      3    6.0    4.0           7.583514153967321647087374003604054450988769531250000000000000        0.11622E-01
      4     12    6.0    5.0           2.233009031059867588453471398679539561271667480468750000000000        0.34223E-02
      4     19    6.0    4.0           0.000019591292653079842462368956312879220149625325575470924377        0.30025E-07
      4     20    6.0    4.0           0.000000000021494028936664232178829325906062157076209517825305        0.32942E-13
      4     10    6.0    3.0           0.000085315755543198458932946381949591341253835707902908325195        0.13075E-06
     23      2    3.0    2.0           0.049376009790198814586315023689166991971433162689208984375000        0.75673E-04
     23      3    3.0    4.0           0.007490841129298802386626832117144658695906400680541992187500        0.11480E-04
     23     10    3.0    3.0           0.002593840126456465125515116199039766797795891761779785156250        0.39753E-05
     23     17    3.0    2.0           0.003561673823525798344979964582535103545524179935455322265625        0.54586E-05
     20      2    4.0    2.0           2.141114793425022533313040185021236538887023925781250000000000        0.32815E-02
     20      3    4.0    4.0           1.925167088460765896229531790595501661300659179687500000000000        0.29505E-02
     20     12    4.0    5.0           0.062749877081867397321524038034112891182303428649902343750000        0.96170E-04
     19      2    4.0    2.0           1.840547074302680385926578310318291187286376953125000000000000        0.28208E-02
     19      3    4.0    4.0          14.385944373276011276630015345290303230285644531250000000000000        0.22048E-01
     19     10    4.0    3.0          10.921313050221652218851886573247611522674560546875000000000000        0.16738E-01
     19     17    4.0    2.0           0.093548181254331799761025934003555448725819587707519531250000        0.14337E-03
     18      1    2.0    0.0           2.644120940370809691444264899473637342453002929687500000000000        0.40524E-02
     18      2    2.0    2.0           5.134786526535242145996562612708657979965209960937500000000000        0.78695E-02
     12      2    5.0    2.0           0.001978254680451691557147020361639988550450652837753295898438        0.30319E-05
     12      3    5.0    4.0          12.061153739993672573405092407483607530593872070312500000000000        0.18485E-01
     12     10    5.0    3.0           1.288388977969549431534801442467141896486282348632812500000000        0.19746E-02
     11      1    1.0    0.0           0.564771526928568023961929611687082797288894653320312500000000        0.86556E-03
     11      2    1.0    2.0           0.275018468890096845491655130899744108319282531738281250000000        0.42149E-03
     11      3    1.0    4.0           0.000000000847433356403611238064859061662080150223452790214651        0.12988E-11
     11     10    1.0    3.0           0.000624760774493593852921269338196452736156061291694641113281        0.95750E-06
     17      1    2.0    0.0          15.051583597990591201210008875932544469833374023437500000000000        0.23068E-01
     17      2    2.0    2.0          15.120184514475182524506635672878473997116088867187500000000000        0.23173E-01
     17      3    2.0    4.0           0.000469534098588132850146670271840321220224723219871520996094        0.71960E-06
     17     16    2.0    0.0           0.000000006991354683890547663588442805744985197868857085268246        0.10715E-10
     16      2    0.0    2.0           1.035816404899434717279405049339402467012405395507812500000000        0.15875E-02
      3      2    4.0    2.0         153.700960094897595809015911072492599487304687500000000000000000        0.23556E+00
      3     10    4.0    3.0           0.021132611535473275893304290207197482232004404067993164062500        0.32388E-04
     10      1    3.0    0.0           0.001378923742169530257048459809254836727632209658622741699219        0.21133E-05
     10      2    3.0    2.0          18.321827975997809545560812694020569324493408203125000000000000        0.28080E-01
      2      1    2.0    0.0         652.490048464857522958482149988412857055664062500000000000000000        0.10000E+01


                                                  CALCULATED YIELDS

     EXPERIMENT  4  DETECTOR  1
     ENERGY    650.100 MEV  THETA  53.000 DEG

     NI     NF     II     IF     YIELD     NORMALIZED YIELD

      9      8   16.0   14.0           0.000012517496674413801442367691341139845917496131733059883118        0.27200E-07
      8      7   14.0   12.0           0.000370350065554370284914842414991653640754520893096923828125        0.80475E-06
      8     15   14.0   11.0           0.000000143291767942121274959340671874274963926154669024981558        0.31137E-09
      7      6   12.0   10.0           0.001958300631948858318287509661104195402003824710845947265625        0.42553E-05
      7     15   12.0   11.0           0.002433710050113294977303102228916031890548765659332275390625        0.52883E-05
      7     14   12.0    9.0           0.000001318008054253886601257079146110040568373733549378812313        0.28640E-08
     15      5   11.0    8.0           0.000000916277198389160602212254614490349879929453891236335039        0.19910E-08
     15      6   11.0   10.0           0.001913499247752528274399419494500307337148115038871765136719        0.41579E-05
     15     14   11.0    9.0           0.034566167871132487399155053253707592375576496124267578125000        0.75110E-04
      6      5   10.0    8.0           0.010313123074486323788034880521990999113768339157104492187500        0.22410E-04
      6     14   10.0    9.0           0.026845477671869680952321246536484977696090936660766601562500        0.58334E-04
      6     13   10.0    7.0           0.000006970477915215895191054090718196789566718507558107376099        0.15146E-07
     14      4    9.0    6.0           0.000036626183030655584606412322745683241009828634560108184814        0.79587E-07
     14      5    9.0    8.0           0.006012296783110273983019578025732698733918368816375732421875        0.13064E-04
     14     13    9.0    7.0           0.581078783076597216172842763626249507069587707519531250000000        0.12627E-02
      5      4    8.0    6.0           0.221431449148090014888978771523397881537675857543945312500000        0.48116E-03
      5     13    8.0    7.0           0.245480254314416751482141876294917892664670944213867187500000        0.53342E-03
      5     12    8.0    5.0           0.000026325011990026142008006898587169075653946492820978164673        0.57203E-07
     13      3    7.0    4.0           0.000847020219116608624222719559071492767543531954288482666016        0.18405E-05
     13      4    7.0    6.0           1.430378724896928632759340871416497975587844848632812500000000        0.31081E-02
     13     12    7.0    5.0           2.925803690888557628824173661996610462665557861328125000000000        0.63576E-02
     22      1    2.0    0.0           0.098776938623851548437748704145633382722735404968261718750000        0.21464E-03
     22      2    2.0    2.0           0.964964509819638216470139013836160302162170410156250000000000        0.20968E-02
     22     10    2.0    3.0           0.113076298728728513731667248976009432226419448852539062500000        0.24571E-03
     22     18    2.0    2.0           0.088960858074317389343477202601206954568624496459960937500000        0.19331E-03
     21      2    0.0    2.0           0.421071688869280758016344634597771801054477691650390625000000        0.91497E-03
     21     17    0.0    2.0           0.000008577244092916499047752829087976067512499867007136344910        0.18638E-07
